id,name,team,goals
0,Wayne Gretzky,Oilers,51
0,Wayne Gretzky,Oilers,55
0,Wayne Gretzky,Oilers,92
0,Wayne Gretzky,Oilers,71
0,Wayne Gretzky,Oilers,87
0,Wayne Gretzky,Oilers,73
0,Wayne Gretzky,Oilers,52
0,Wayne Gretzky,Oilers,62
0,Wayne Gretzky,Oilers,40
0,Wayne Gretzky,Kings,54
0,Wayne Gretzky,Kings,40
0,Wayne Gretzky,Kings,41
0,Wayne Gretzky,Kings,31
0,Wayne Gretzky,Kings,16
0,Wayne Gretzky,Kings,38
0,Wayne Gretzky,Kings,11
0,Wayne Gretzky,Kings,15
0,Wayne Gretzky,Blues,8
0,Wayne Gretzky,Rangers,25
0,Wayne Gretzky,Rangers,23
0,Wayne Gretzky,Rangers,9
1,Gordie Howe,Red Wings,7
1,Gordie Howe,Red Wings,16
1,Gordie Howe,Red Wings,12
1,Gordie Howe,Red Wings,35
1,Gordie Howe,Red Wings,43
1,Gordie Howe,Red Wings,47
1,Gordie Howe,Red Wings,49
1,Gordie Howe,Red Wings,33
1,Gordie Howe,Red Wings,29
1,Gordie Howe,Red Wings,38
1,Gordie Howe,Red Wings,44
1,Gordie Howe,Red Wings,33
1,Gordie Howe,Red Wings,32
1,Gordie Howe,Red Wings,28
1,Gordie Howe,Red Wings,23
1,Gordie Howe,Red Wings,33
1,Gordie Howe,Red Wings,38
1,Gordie Howe,Red Wings,26
1,Gordie Howe,Red Wings,29
1,Gordie Howe,Red Wings,29
1,Gordie Howe,Red Wings,25
1,Gordie Howe,Red Wings,39
1,Gordie Howe,Red Wings,44
1,Gordie Howe,Red Wings,31
1,Gordie Howe,Red Wings,23
1,Gordie Howe,Whalers,15
2,Brett Hull,Flames,1
2,Brett Hull,Flames,26
2,Brett Hull,Blues,6
2,Brett Hull,Blues,41
2,Brett Hull,Blues,72
2,Brett Hull,Blues,86
2,Brett Hull,Blues,70
2,Brett Hull,Blues,54
2,Brett Hull,Blues,57
2,Brett Hull,Blues,29
2,Brett Hull,Blues,43
2,Brett Hull,Blues,42
2,Brett Hull,Blues,27
2,Brett Hull,Stars,32
2,Brett Hull,Stars,24
2,Brett Hull,Stars,39
2,Brett Hull,Red Wings,30
2,Brett Hull,Red Wings,37
2,Brett Hull,Red Wings,25
2,Brett Hull,Coyotes,0
3,Marcel Dionne,Red Wings,28
3,Marcel Dionne,Red Wings,40
3,Marcel Dionne,Red Wings,24
3,Marcel Dionne,Red Wings,47
3,Marcel Dionne,Kings,40
3,Marcel Dionne,Kings,53
3,Marcel Dionne,Kings,36
3,Marcel Dionne,Kings,59
3,Marcel Dionne,Kings,53
3,Marcel Dionne,Kings,58
3,Marcel Dionne,Kings,50
3,Marcel Dionne,Kings,56
3,Marcel Dionne,Kings,39
3,Marcel Dionne,Kings,46
3,Marcel Dionne,Kings,36
3,Marcel Dionne,Kings,24
3,Marcel Dionne,Rangers,4
3,Marcel Dionne,Rangers,31
3,Marcel Dionne,Rangers,7
4,Phil Esposito,Blackhawks,3
4,Phil Esposito,Blackhawks,23
4,Phil Esposito,Blackhawks,27
4,Phil Esposito,Blackhawks,21
4,Phil Esposito,Bruins,35
4,Phil Esposito,Bruins,49
4,Phil Esposito,Bruins,43
4,Phil Esposito,Bruins,76
4,Phil Esposito,Bruins,66
4,Phil Esposito,Bruins,55
4,Phil Esposito,Bruins,68
4,Phil Esposito,Bruins,61
4,Phil Esposito,Bruins,6
4,Phil Esposito,Rangers,29
4,Phil Esposito,Rangers,34
4,Phil Esposito,Rangers,38
4,Phil Esposito,Rangers,42
4,Phil Esposito,Rangers,34
4,Phil Esposito,Rangers,7
5,Jaromir Jagr,Penguins,27
5,Jaromir Jagr,Penguins,32
5,Jaromir Jagr,Penguins,34
5,Jaromir Jagr,Penguins,32
5,Jaromir Jagr,Penguins,32
5,Jaromir Jagr,Penguins,62
5,Jaromir Jagr,Penguins,47
5,Jaromir Jagr,Penguins,35
5,Jaromir Jagr,Penguins,44
5,Jaromir Jagr,Penguins,42
5,Jaromir Jagr,Penguins,52
